
PKEY                         ,   INST_ID,    CON_ID,NAME                                                                            ,VALUE                                                       ,DEFAULT_VALUE                 ,ISDEFA
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_14                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_15                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_16                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_17                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_18                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_19                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_20                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_21                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_22                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_23                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_24                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_25                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_26                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_27                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_28                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_29                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_30                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest_state_31                                                       ,enable                                                      ,enable                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_start                                                               ,FALSE                                                       ,FALSE                         ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_dest                                                                ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_duplex_dest                                                         ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_min_succeed_dest                                                    ,1                                                           ,1                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,fal_client                                                                      ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,fal_server                                                                      ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_trace                                                               ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,data_guard_sync_latency                                                         ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_config                                                              ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_format                                                              ,%t_%s_%r.dbf                                                ,%t_%s_%r.dbf                  ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,data_guard_max_io_time                                                          ,240                                                         ,240                           ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,data_guard_max_longio_time                                                      ,240                                                         ,240                           ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,redo_transport_user                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_archive_max_processes                                                       ,4                                                           ,4                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_buffer                                                                      ,23560192                                                    ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_checkpoint_interval                                                         ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_checkpoint_timeout                                                          ,1800                                                        ,1800                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,archive_lag_target                                                              ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_files                                                                        ,200                                                         ,200                           ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_file_multiblock_read_count                                                   ,97                                                          ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,read_only_open_delayed                                                          ,FALSE                                                       ,FALSE                         ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,cluster_database                                                                ,FALSE                                                       ,FALSE                         ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,cluster_database_instances                                                      ,1                                                           ,                              ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_create_file_dest                                                             ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_create_online_log_dest_1                                                     ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_create_online_log_dest_2                                                     ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_create_online_log_dest_3                                                     ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_create_online_log_dest_4                                                     ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_create_online_log_dest_5                                                     ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_recovery_file_dest                                                           ,                                                            ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_recovery_file_dest_size                                                      ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,standby_file_management                                                         ,MANUAL                                                      ,MANUAL                        ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_unrecoverable_scn_tracking                                                   ,TRUE                                                        ,TRUE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,thread                                                                          ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,enabled_PDBs_on_standby                                                         ,*                                                           ,*                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,fast_start_io_target                                                            ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,fast_start_mttr_target                                                          ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,log_checkpoints_to_alert                                                        ,FALSE                                                       ,FALSE                         ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,db_lost_write_protect                                                           ,NONE                                                        ,NONE                          ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,recovery_parallelism                                                            ,0                                                           ,0                             ,TRUE
ol79-orcl-db01_ORCLCDB_132841,         1,         1,enable_goldengate_replication                                                   ,FALSE                                                       ,FALSE                         ,TRUE
